timestamp,fecha_hora,archivo_csv,muestras_solicitadas,muestras_extraidas,total_lineas,tiempo_total_seg,tiempo_total_min,tiempo_lectura_ca,tiempo_lectura_zh,tiempo_creacion_csv,linea_min,linea_max,eficiencia_pct,seed_usado,lineas_previas_en_record,lineas_nuevas_añadidas,metodo_usado
1752583113.185661,2025-07-15 14:38:33,muestra_traducciones_10000.csv,10000,9826,96000000,6.5,0.11,2.05,4.02,0.19,5395,95994066,98.3,,0,9826,indice
1752586194.821081,2025-07-15 15:29:54,muestra_traducciones_10000.csv,10000,9779,96000000,8.35,0.14,2.44,5.53,0.16,2427,95993193,97.8,,9826,9779,indice
1752588623.672794,2025-07-15 16:10:23,muestra_traducciones_10000.csv,10000,9826,96000000,5.26,0.09,1.9,2.91,0.18,11463,95989726,98.3,,19605,9826,indice
1752591247.437352,2025-07-15 16:54:07,muestra_traducciones_10000.csv,10000,9835,96000000,5.01,0.08,1.92,2.74,0.11,1353,95989552,98.4,,29431,9835,indice
1752598359.803366,2025-07-15 18:52:39,muestra_traducciones_10000.csv,10000,9826,96000000,3.34,0.06,1.44,1.54,0.15,3292,95995012,98.3,,39266,9826,indice
1752598384.804502,2025-07-15 18:53:04,muestra_traducciones_10000.csv,10000,9801,96000000,3.32,0.06,1.44,1.51,0.16,18091,95995347,98.0,,49092,9801,indice
1752598408.561931,2025-07-15 18:53:28,muestra_traducciones_10000.csv,10000,9791,96000000,4.06,0.07,1.49,2.18,0.15,5747,95995655,97.9,,58893,9791,indice
1752600610.210444,2025-07-15 19:30:10,muestra_traducciones_10000.csv,10000,9838,96000000,3.4,0.06,1.34,1.67,0.15,2443,95976728,98.4,,68684,9838,indice
1752602777.166987,2025-07-15 20:06:17,muestra_traducciones_10000.csv,10000,9814,96000000,2.66,0.04,1.29,1.26,0.02,588,95990228,98.1,,78522,9814,indice
1752605042.518944,2025-07-15 20:44:02,muestra_traducciones_10000.csv,10000,9815,96000000,2.92,0.05,1.29,1.31,0.05,9308,95997864,98.2,,88336,9815,indice
1752607656.051986,2025-07-15 21:27:36,muestra_traducciones_10000.csv,10000,9820,96000000,2.98,0.05,1.24,1.31,0.15,2391,95997599,98.2,,98151,9820,indice
1752609980.140445,2025-07-15 22:06:20,muestra_traducciones_10000.csv,10000,9804,96000000,2.46,0.04,1.17,1.16,0.02,1506,95996976,98.0,,107971,9804,indice
1752612402.175642,2025-07-15 22:46:42,muestra_traducciones_10000.csv,10000,9808,96000000,2.41,0.04,1.15,1.11,0.02,28171,95999960,98.1,,117775,9808,indice
1752615531.026249,2025-07-15 23:38:51,muestra_traducciones_10000.csv,10000,9825,96000000,3.78,0.06,1.39,1.94,0.16,9029,95998233,98.2,,127583,9825,indice
1752618457.266385,2025-07-16 00:27:37,muestra_traducciones_10000.csv,10000,9808,96000000,3.56,0.06,1.31,1.77,0.17,17190,95992999,98.1,,137408,9808,indice
1752621326.260948,2025-07-16 01:15:26,muestra_traducciones_10000.csv,10000,9832,96000000,3.5,0.06,1.31,1.69,0.18,17249,95983627,98.3,,147216,9832,indice
1752624087.938284,2025-07-16 02:01:27,muestra_traducciones_10000.csv,10000,9830,96000000,3.18,0.05,1.24,1.47,0.16,23880,95992170,98.3,,157048,9830,indice
1752627019.098895,2025-07-16 02:50:19,muestra_traducciones_10000.csv,10000,9813,96000000,3.24,0.05,1.24,1.52,0.16,3727,95986965,98.1,,166878,9813,indice
1752629873.373876,2025-07-16 03:37:53,muestra_traducciones_10000.csv,10000,9821,96000000,3.49,0.06,1.27,1.73,0.15,4733,95991391,98.2,,176691,9821,indice
1752632360.866278,2025-07-16 04:19:20,muestra_traducciones_10000.csv,10000,9802,96000000,3.0,0.05,1.21,1.28,0.17,4925,95992374,98.0,,186512,9802,indice
1752635238.164394,2025-07-16 05:07:18,muestra_traducciones_10000.csv,10000,9815,96000000,3.21,0.05,1.19,1.54,0.15,2529,95996875,98.2,,196314,9815,indice
1752638184.719624,2025-07-16 05:56:24,muestra_traducciones_10000.csv,10000,9807,96000000,3.7,0.06,1.3,1.93,0.12,823,95997071,98.1,,206129,9807,indice
1752641473.645296,2025-07-16 06:51:13,muestra_traducciones_10000.csv,10000,9827,96000000,3.58,0.06,1.25,1.8,0.17,1276,95996143,98.3,,215936,9827,indice
1752644479.049903,2025-07-16 07:41:19,muestra_traducciones_10000.csv,10000,9803,96000000,3.96,0.07,1.32,2.13,0.17,4280,95996899,98.0,,225763,9803,indice
1752648565.216279,2025-07-16 08:49:25,muestra_traducciones_10000.csv,10000,9806,96000000,13.55,0.23,6.0,5.82,0.29,1595,95998702,98.1,,235566,9806,indice
1752651518.647069,2025-07-16 09:38:38,muestra_traducciones_10000.csv,10000,9797,96000000,4.73,0.08,2.05,2.43,0.05,20061,95998980,98.0,,245372,9797,indice
1752654490.456593,2025-07-16 10:28:10,muestra_traducciones_10000.csv,10000,9832,96000000,6.99,0.12,1.82,4.61,0.17,13724,95996024,98.3,,255169,9832,indice
1752658012.382501,2025-07-16 11:26:52,muestra_traducciones_10000.csv,10000,9800,96000000,5.26,0.09,1.55,3.18,0.15,1874,95984995,98.0,,265001,9800,indice
1752661700.442004,2025-07-16 12:28:20,muestra_traducciones_10000.csv,10000,9803,96000000,6.07,0.1,1.52,3.99,0.16,18739,95994510,98.0,,274801,9803,indice
1752665056.609781,2025-07-16 13:24:16,muestra_traducciones_10000.csv,10000,9799,96000000,5.33,0.09,1.44,3.27,0.21,13050,95998275,98.0,,284604,9799,indice
1752668494.441669,2025-07-16 14:21:34,muestra_traducciones_10000.csv,10000,9795,96000000,5.21,0.09,1.4,3.22,0.19,244,95980176,98.0,,294403,9795,indice
1752671826.506871,2025-07-16 15:17:06,muestra_traducciones_10000.csv,10000,9814,96000000,5.18,0.09,1.38,3.23,0.16,8415,95994224,98.1,,304198,9814,indice
1752674108.562674,2025-07-16 15:55:08,muestra_traducciones_10000.csv,10000,9810,96000000,4.42,0.07,1.38,2.42,0.18,9332,95994320,98.1,,314012,9810,indice
1752674161.024505,2025-07-16 15:56:01,muestra_traducciones_10000.csv,10000,9829,96000000,4.32,0.07,1.3,2.42,0.17,557,95995516,98.3,,323822,9829,indice
1752675994.990074,2025-07-16 16:26:34,muestra_traducciones_10000.csv,10000,9802,96000000,6.35,0.11,1.3,4.41,0.2,13671,95991595,98.0,,333651,9802,indice
1752677975.539609,2025-07-16 16:59:35,muestra_traducciones_10000.csv,10000,9798,96000000,4.98,0.08,1.25,3.12,0.15,1325,95990133,98.0,,343453,9798,indice
1752679913.403944,2025-07-16 17:31:53,muestra_traducciones_10000.csv,10000,9777,96000000,4.87,0.08,1.35,2.89,0.17,8045,95985036,97.8,,353251,9777,indice
1752681890.261781,2025-07-16 18:04:50,muestra_traducciones_10000.csv,10000,9820,96000000,5.6,0.09,1.24,3.74,0.15,5558,95993176,98.2,,363028,9820,indice
1752683985.832998,2025-07-16 18:39:45,muestra_traducciones_10000.csv,10000,9815,96000000,10.03,0.17,3.96,5.42,0.15,23520,95965361,98.2,,372848,9815,indice
1752685135.633791,2025-07-16 18:58:55,muestra_traducciones_10000.csv,10000,9800,96000000,4.04,0.07,1.14,2.24,0.19,2458,95999343,98.0,,382663,9800,indice
1752687045.85361,2025-07-16 19:30:45,muestra_traducciones_10000.csv,10000,9821,96000000,4.32,0.07,1.11,2.55,0.17,1008,95995877,98.2,,392463,9821,indice
1752688962.09176,2025-07-16 20:02:42,muestra_traducciones_10000.csv,10000,9792,96000000,6.49,0.11,1.2,4.61,0.17,5266,95997839,97.9,,402284,9792,indice
1752689350.54857,2025-07-16 20:09:10,muestra_traducciones_10000.csv,10000,9799,96000000,5.32,0.09,1.22,3.42,0.16,18858,95984155,98.0,,412076,9799,indice
1752691008.806211,2025-07-16 20:36:48,muestra_traducciones_10000.csv,10000,9820,96000000,4.05,0.07,1.1,2.3,0.14,7572,95999325,98.2,,421875,9820,indice
1752691508.599397,2025-07-16 20:45:08,muestra_traducciones_10000.csv,10000,9816,96000000,4.88,0.08,1.0,3.14,0.22,5240,95997971,98.2,,431695,9816,indice
1752692002.123904,2025-07-16 20:53:22,muestra_traducciones_10000.csv,10000,9815,96000000,4.3,0.07,1.05,2.57,0.15,730,95987461,98.2,,441511,9815,indice
